"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","condition_confidence_scenario","criticality_overall_score","criticality_overall_score_label","criticality_operational_score","criticality_pipe_type_score","criticality_people_impacts_score","criticality_people_impacts_dataset_s_","criticality_environmental_impacts_score","criticality_environmental_impacts_dataset_s_","criticality_infiltration_score","criticality_impact_of_failure_score","criticality_flow_ratio","criticality_confidence_scenario","Risk-score"
"CLS",2010,1200,119.79,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CLS",2010,1200,117.57,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,117,2.88,"3","None","None","None","no",5,5,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,2100,115.42,2.48,"2","2","2010","te puna wai","no",5,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,104.5,2.88,"3","None","None","None","no",5,5,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2003,1200,103.63,1.97,"2","None","None","None","no",5,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2,"Public Park & Sports Area",1,"Aquifer - Onehunga Volcanic Aquifer",1,1.06,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2004,1290,102.52,2,"2","2","2016","te puna wai","no",5,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,62.71,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,62.7,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"BRICK",1911,1500,43.33,3.87,"4","None","None","None","no",5,1,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Schools & Hospitals",4,"Aquifer - Western Springs Volcanic Aquifer, NZ River Lines",5,2.405,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",1964,1200,35.03,3,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,5,"KiwiRail",1,NA,5,2.125,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1980,2100,32.35,3,"3","3","2009","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2010,1550,29.29,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Building Outlines",1,NA,1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1960,1220,22.03,2.67,"3","2","2015","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2012,1200,21.53,1.97,"2","None","None","None","no",5,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1959,1600,10.31,2.56,"3","1","2013","te puna wai","no",5,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,1,0.755,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,1350,10.18,2.39,"2","2","2016","te puna wai","no",5,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1500,5.71,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1500,5.67,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1999,1600,4.96,3,"3","3","2012","te puna wai","no",5,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1960,1220,4.86,3.17,"3","None","None","None","no",5,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1960,1220,4.05,2.67,"3","2","2015","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2013,1980,617.48,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",4,"Place Of Historic Heritage - Middens/terraces R10_201 and ditch R10_1098,  including fig trees, NZ River Lines",5,1.635,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,445.77,2.29,"2","None","None","None","no",3,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1549,291.03,4,"4","4","2009","te puna wai","no",3,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",2021,2100,277.24,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,1,NA,1,"Significant Ecological Area - SEA_T_6096",1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2021,2100,227.29,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,5,"Schools & Hospitals",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1549,189.25,4,"4","4","2008","te puna wai","no",3,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_4348",1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",1964,1200,181.29,2.17,"2","2","2016","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2021,2100,174.96,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,5,"Schools & Hospitals",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,162.97,2.29,"2","None","None","None","no",3,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,162.97,2.29,"2","None","None","None","no",3,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,137.28,2.29,"2","None","None","None","no",3,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,"Ocean Intercept, Significant Ecological Area - SEA-M1-23b",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2021,2100,128.04,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,5,"Schools & Hospitals",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2013,1980,100.36,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels",4,"NZ River Lines",5,1.635,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2021,2100,92.25,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,5,"Schools & Hospitals",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2004,1600,73.48,2,"2","2","2008","te puna wai","no",3,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Ocean Intercept, Significant Ecological Area - SEA_T_4348",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"FRP",2017,1200,73.46,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1940,1800,63.62,3.71,"4","None","None","None","no",3,3,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Safe Swim Beach",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",2013,1980,62.05,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1940,1800,46.56,3.71,"4","None","None","None","no",3,3,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",1940,1800,39.15,3.71,"4","None","None","None","no",3,3,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",2021,2100,34.19,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,1,NA,4,"Significant Ecological Area - SEA_T_6096, NZ River Lines",1.5,1.05,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2021,1350,24.57,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,5,"Schools & Hospitals",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1200,21.53,3,"3","3","2016","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2017,1200,12.67,1.8,"2","None","None","None","no",3,5,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"BRICK",1911,2100,11.15,3.49,"3","None","None","None","no",3,1,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Building Outlines",1,"Significant Ecological Area - SEA_T_6171",1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2002,1600,10.55,3,"3","3","2008","te puna wai","no",3,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_4348",1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2017,1200,5.72,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"BRICK",1927,1600,3.16,2.79,"3","None","None","None","no",3,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",20
"CLS",1964,1600,2.8,4.41,"4","None","None","None","no",3,3,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",2010,3700,2008.79,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,3.5,"Property Parcels, Building Outlines, Public Park & Sports Area",1,NA,1.5,1.54,1,"Diameter Used For Flow Approximation & Depth Available",11
"CONC",1964,1600,370.61,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail, Building Outlines",4,"NZ River Lines",1.5,2.285,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,357.32,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail, Building Outlines",4,"NZ River Lines",1.5,2.285,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2010,2700,339.85,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",11
"CONC",1964,2550,264.77,2,"2","2","2009","te puna wai","no",1,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,1,"Modelled Flow Data Used & Depth Available",16
"CONC",1964,1600,248.38,1.71,"2","None","None","None","no",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail, Building Outlines",1,"Mana Whenua - Mutukaroa, Place Of Historic Heritage - Hamlins Hill/Mutukaroa Pa site R11_142",1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,248.12,1.71,"2","None","None","None","no",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail, Building Outlines",1,"Mana Whenua - Mutukaroa, Place Of Historic Heritage - Hamlins Hill/Mutukaroa Pa site R11_142",1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1999,1600,218.35,3,"3","3","2012","te puna wai","no",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1961,1350,188.5,4,"4","4","2016","te puna wai","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,5,"NZTA",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",1964,1600,177.62,1.71,"2","None","None","None","no",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines, Safe Swim Beach",1,"Ocean Intercept",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1549,148.38,1.71,"2","None","None","None","no",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",16
"BRICK",1927,1200,132.94,2.29,"2","2","2012","te puna wai","no",1,1,3,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,5,"Property Parcels, KiwiRail, Schools & Hospitals",1,NA,1,1.985,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1977,2550,124.29,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,2100,109.14,3,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,1350,106.95,3,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1977,2550,100.01,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,2100,88.93,3,"3","3","2009","te puna wai","no",1,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,2100,82.21,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,80.22,2,"2","2","2001","te puna wai","no",1,1,2,"CCTV Available (20-30 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"BRICK",1911,2362,75.71,2.8,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Building Outlines",1,"Place Of Historic Heritage - Auckland Domain/Pukekaroa/Pukekawa Hill Pa site R11_105,  including pits,  terraces,  midden,  house sites,  structures,  memorials,  water supply site,  ponds,  roads,  g",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,2100,70.36,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",11
"BRICK",1911,2362,69.12,2.8,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,"Place Of Historic Heritage - Auckland Domain/Pukekaroa/Pukekawa Hill Pa site R11_105,  including pits,  terraces,  midden,  house sites,  structures,  memorials,  water supply site,  ponds,  roads,  g",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1961,1350,67.82,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",5,5,5,5,1,NA,1,"Significant Ecological Area - SEA_T_8091A",1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1350,59.13,2,"2","2","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1977,2550,58.58,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,3.5,"Property Parcels, Building Outlines",1,NA,5,1.665,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1961,1350,55.83,4,"4","4","2016","te puna wai","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8091A",1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",23
"CONC",1964,1600,55.37,3,"3","3","2009","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1961,1350,51.65,2.62,"3","None","None","None","no",1,3,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels, Building Outlines",1,NA,1.5,1.235,1,"Modelled Flow Data Used & Depth Available",20
"CONC",1964,2100,49.2,3,"3","3","2009","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Place Of Historic Heritage - Van Dammes Cottage",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",20
"VC",1911,2362,48.94,2.8,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Building Outlines",1,"Place Of Historic Heritage - Auckland Domain/Pukekaroa/Pukekawa Hill Pa site R11_105,  including pits,  terraces,  midden,  house sites,  structures,  memorials,  water supply site,  ponds,  roads,  g",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",2012,1290,48.31,2,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,1,NA,1,NA,5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1977,2550,47.9,1.92,"2","None","None","None","no",1,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_6373a",1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1973,1350,44.36,2,"2","2","2008","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels",1,"Ocean Intercept",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1350,41.62,2,"2","2","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",2010,1650,40.56,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,1.5,1.235,1,"Diameter Used For Flow Approximation & Depth Available",11
"CONC",1973,1350,36.61,2,"2","2","2008","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Not Available",5,5,5,5,2.5,"Property Parcels",1,NA,1,1.215,1,"Diameter Used For Flow Approximation & Depth Available",16
