MATERIAL,INSTALLED,NOM_DIA_MM,LENGTH,condition_overall_score,condition_overall_score_label,condition_age_score,condition_stability_score,condition_corrositivity_score,condition_pressure_score,condition_faults_per_km_score,condition_confidence_scenario,criticality_overall_score,criticality_overall_score_label,criticality_operational_score,criticality_pipe_type_score,criticality_people_impacts_score,criticality_people_impacts_dataset_s_,criticality_environment_impacts_score,criticality_environmental_impacts_dataset_s_,criticality_3rd_party_impacts_score,criticality_3rd_party_impacts_dataset_s_,criticality_impact_of_failure_score,criticality_sqrt_flow_ratio,criticality_confidence_scenario,Risk-score
CLS,1972,810,72.71,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Available,4.955,5,5,5,5,KiwiRail,1,NA,5,Vocus Fibre Lines,4.71,0.8,Modelled Flow Data Used,20
CLS,1972,810,22.1,3.24,3,2,5,5,3,3,Soil Type Available & Modelled Pressure Available,4.565,5,5,5,1,NA,1,Significant Ecological Area - SEA-M2-23a,1,NA,2.11,0.8,Modelled Flow Data Used,20
CLS,1959,810,0.4,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CONC,1927,1500,58.69,2.92,3,3,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1966,760,420.06,3.23,3,2,5,1,2,5,Soil Type Available & Modelled Pressure Available,4.565,5,5,3,2.5,Property Parcels,1,NA,5,Gas Transmission,3.56,0.6,Modelled Flow Data Used,20
CLS,2002,1200,13.62,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1970,810,8.1,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.5725,5,5,3,3.5,"Public Park & Sports Area, Building Outlines",1,NA,1,NA,2.15,0.8,Modelled Flow Data Used,20
CLS,2005,550,33.57,2.74,3,1,1,1,1,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,1974,1070,58.6,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,"Building Outlines, Property Parcels",1,Significant Ecological Area - SEA_T_5539,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1957,1070,18.02,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,Place Of Historic Heritage - Grafton Library (former),1,NA,2.19,0.8,Modelled Flow Data Used,20
CONC,1927,1500,460.25,2.92,3,3,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,4,"NZ River Lines, Significant Ecological Area - SEA_T_5539",1,NA,2.69,1,Diameter Used for Flow Approximation,20
CONC,1927,1500,894.66,2.92,3,3,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1970,550,231.22,3.07,3,2,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,Place Of Historic Heritage - Te Onewa/Stokes Point Pa R11_54,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,1971,1070,1205.37,2.67,3,2,3,3,2,3,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,2005,550,33.7,2.74,3,1,1,1,1,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,1972,810,18.17,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1976,810,60.15,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
MS,2002,1200,63.5,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1980,1070,105.61,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,Place Of Historic Heritage - Grafton Library (former),1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1982,910,14.69,2.57,3,1,5,5,3,2,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,2002,1200,18.4,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1991,810,4.97,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1970,910,95.2,2.5,3,2,1,3,1,3,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,2012,550,170.17,2.83,3,1,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,1994,810,15.47,2.53,3,1,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1969,310,49.3,2.72,3,2,1,1,3,4,Soil Type Not Available & Modelled Pressure Available,4.8275,5,5,5,5,KiwiRail,1,NA,5,"RNZ Liquid Fuels Pipeline Marsden to Wiri, Vocus Fibre Lines, Gas Transmission",4.71,0.2,Modelled Flow Data Used,20
CLS,2002,1200,2.33,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1959,910,4.18,2.97,3,2,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1972,810,607.92,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Available,4.9175,5,5,4,5,NZTA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,5,AT Main Roads,4.43,0.8,Modelled Flow Data Used,20
CLS,1972,810,29.26,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Available,4.565,5,5,5,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,2.11,0.8,Modelled Flow Data Used,20
CONC,1927,1500,420.88,2.92,3,3,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1972,810,1416.84,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CI,1974,1070,1.1,3.36,3,2,1,3,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1946,630,122.41,3.21,3,3,1,1,1,5,Soil Type Not Available & Modelled Pressure Available,4.91,5,5,5,5,"Building Outlines, Schools & Hospitals, Property Parcels, KiwiRail",1,NA,5,"Vocus Fibre Lines, HV Power Lines, AT Main Roads",4.71,0.6,Modelled Flow Data Used,20
CLS,1992,810,10.03,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1994,810,5.11,2.53,3,1,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1976,810,306.56,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.9175,5,5,4,5,NZTA,1,NA,5,AT Main Roads,4.43,0.8,Modelled Flow Data Used,20
CLS,1972,810,281.08,2.76,3,2,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,2002,1000,15.8,3.21,3,1,3,3,1,5,Soil Type Not Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,2002,1000,8.5,3.21,3,1,3,3,1,5,Soil Type Not Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CONC,1927,1500,524.53,2.92,3,3,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,"Significant Ecological Area - SEA_T_5539, Place Of Historic Heritage - Huia Filter Station",1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,2002,1200,27.12,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,3,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,1.91,1,Diameter Used for Flow Approximation,20
MS,1970,80,0.12,2.67,3,4,1,1,2,3,Soil Type Not Available & Modelled Pressure Available,4.8275,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.2,Modelled Flow Data Used,20
CLS,1994,810,16.29,2.53,3,1,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.9175,5,5,4,5,NZTA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,5,AT Main Roads,4.43,0.8,Modelled Flow Data Used,20
CLS,1973,810,1539.76,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Available,4.5575,5,5,4,1,NA,4,NZ River Lines,1,NA,2.05,0.8,Modelled Flow Data Used,20
CONC,1945,1900,103.32,2.85,3,2,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,"Significant Ecological Area - SEA_T_5539, Place Of Historic Heritage - Huia Filter Station",1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,1972,810,1542.17,2.76,3,2,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.67,5,5,4,5,Schools & Hospitals,1,Place Of Historic Heritage - War Memorial and Nixon Monument,1,NA,2.79,0.8,Modelled Flow Data Used,20
CLS,1948,760,1806.86,2.6,3,3,5,1,2,3,Soil Type Available & Modelled Pressure Available,4.745,5,5,3,5,Schools & Hospitals,1,NA,5,"RNZ Liquid Fuels Pipeline Marsden to Wiri, Gas Transmission",4.16,0.6,Modelled Flow Data Used,20
CLS,1973,810,18.3,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,1985,1070,2.62,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,Place Of Historic Heritage - Grafton Library (former),1,NA,2.19,0.8,Modelled Flow Data Used,20
CONC,1945,1900,36.71,2.5,3,2,1,3,1,3,Soil Type Available & Modelled Pressure Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,Place Of Historic Heritage - Huia Filter Station,1,NA,2.47,1,Modelled Flow Data Used,20
CLS,1994,810,5.05,2.53,3,1,3,3,3,3,Soil Type Available & Modelled Pressure Available,4.9175,5,5,4,5,NZTA,1,Aquifer - Auckland Isthmus Volcanic Aquifer,5,AT Main Roads,4.43,0.8,Modelled Flow Data Used,20
CLS,2002,1200,80.66,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,2012,550,173.21,2.83,3,1,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
MS,2002,1200,20.05,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,1,NA,1,NA,1,NA,2.11,1,Diameter Used for Flow Approximation,20
CLS,2002,1200,346.24,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,2002,1200,35.62,3.21,3,1,3,3,1,5,Soil Type Not Available & Modelled Pressure Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.47,1,Modelled Flow Data Used,20
CLS,1985,1070,2.56,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,Place Of Historic Heritage - Grafton Library (former),1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1974,1070,54.05,3.13,3,1,1,3,1,5,Soil Type Available & Modelled Pressure Available,4.58,5,5,4,2.5,"Building Outlines, Property Parcels",1,Significant Ecological Area - SEA_T_5539,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,2010,810,24.04,2.91,3,1,5,5,2,3,Soil Type Available & Modelled Pressure Available,4.5275,5,5,4,1,NA,1,NA,1,NA,1.83,0.8,Modelled Flow Data Used,20
CLS,2005,700,32.7,2.74,3,1,1,1,1,5,Soil Type Available & Modelled Pressure Available,4.745,5,5,3,5,NZTA,1,NA,5,AT Main Roads,4.16,0.6,Modelled Flow Data Used,20
CLS,2001,1000,32.34,3.49,3,1,3,3,4,5,Soil Type Not Available & Modelled Pressure Available,4.58,5,5,4,2.5,Property Parcels,1,NA,1,NA,2.19,0.8,Modelled Flow Data Used,20
CLS,1960,550,232.64,3.07,3,2,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,Place Of Historic Heritage - Te Onewa/Stokes Point Pa R11_54,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,2001,1200,48.18,3.49,3,1,3,3,4,5,Soil Type Not Available & Modelled Pressure Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,NA,1,NA,2.47,1,Modelled Flow Data Used,20
CLS,1960,550,640.72,3.07,3,2,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,2002,1200,1,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
CLS,2002,1200,1.7,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,1,Diameter Used for Flow Approximation,20
UNDEF,1964,1900,31.35,3,3,5,1,1,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,1,NA,1,NA,1,NA,2.11,1,Diameter Used for Flow Approximation,20
UNDEF,1927,1500,107.86,3.39,3,5,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,20
UNDEF,1964,1800,49.84,3,3,5,1,1,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,1,NA,4,NZ River Lines,1,NA,2.33,1,Diameter Used for Flow Approximation,20
CI,1912,610,47.77,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.23,3,3,5,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,2.11,0.6,Diameter Used for Flow Approximation,18
CLS,1993,310,62.59,3.57,4,5,3,3,4,3,Soil Type Not Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,18
CI,1912,610,18.98,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1946,100,1.15,3.51,4,5,5,1,2,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,18
CI,1912,610,40.44,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.23,3,3,5,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,2.11,0.6,Diameter Used for Flow Approximation,18
CI,1912,520,8.75,4.07,4,5,1,3,1,5,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,18
CI,1912,610,54.31,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.23,3,3,5,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,2.11,0.6,Diameter Used for Flow Approximation,18
CLS,1993,310,23.3,3.57,4,5,3,3,4,3,Soil Type Not Available & Modelled Pressure Available,3.095,3,5,4,1,NA,1,NA,1,NA,1.83,0.2,Modelled Flow Data Used,18
CI,1945,390,99.22,3.64,4,5,1,3,1,4,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,18
MS,1972,80,1.06,3.93,4,4,1,3,2,5,Soil Type Available & Modelled Pressure Available,2.6,3,5,1,1,NA,1,NA,1,NA,1,0.2,Modelled Flow Data Used,18
CI,1945,470,10.01,3.64,4,5,1,3,1,4,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,NA,1,NA,1.28,0.4,Modelled Flow Data Used,18
CI,1912,550,25.77,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,2.8025,3,2,5,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,2.11,0.4,Diameter Used for Flow Approximation,18
CLS,1993,310,684.29,3.66,4,5,3,3,5,3,Soil Type Not Available & Modelled Pressure Available,2.96,3,5,1,3.5,Building Outlines,1,NA,1,NA,1.6,0.2,Modelled Flow Data Used,18
CI,1912,610,36.06,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1912,610,34.71,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,"Mana Whenua - Paruroa & Nihotupu, Significant Ecological Area - SEA_T_5539",1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1912,610,71.85,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,"Mana Whenua - Paruroa & Nihotupu, Significant Ecological Area - SEA_T_5539",1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1912,520,82.14,4.26,4,5,1,3,3,5,Soil Type Available & Modelled Pressure Not Available,2.855,3,2,2,5,Schools & Hospitals,1,Significant Ecological Area - SEA_T_5539,1,NA,2.23,0.4,Diameter Used for Flow Approximation,18
CI,1912,610,14.97,3.99,4,5,5,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1912,610,558.9,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.2975,3,3,5,1,NA,4,"NZ River Lines, Significant Ecological Area - SEA_T_5539",1,NA,2.33,0.6,Diameter Used for Flow Approximation,18
CI,1912,520,12.39,4.07,4,5,1,3,1,5,Soil Type Available & Modelled Pressure Available,3.3275,3,5,2,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.28,0.4,Modelled Flow Data Used,18
CI,1912,610,24.61,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CLS,1946,630,1.44,3.87,4,3,3,3,3,5,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,NA,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CLS,1993,310,13.7,3.66,4,5,3,3,5,3,Soil Type Not Available & Modelled Pressure Available,3.245,3,5,4,2,Public Park & Sports Area,1,NA,1,NA,2.07,0.2,Modelled Flow Data Used,18
CI,1912,610,3.26,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
CI,1912,610,105.86,3.82,4,5,1,3,3,4,Soil Type Available & Modelled Pressure Not Available,3.065,3,3,3,1,NA,1,Significant Ecological Area - SEA_T_5539,1,NA,1.56,0.6,Diameter Used for Flow Approximation,18
